version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,agent_lead,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,baseline,original prompt with eager guessing,N/A,0.55,runs/v0_B_base_openrouter_20260602T140723205512.json
v1,agent_lead,system_prompt.md,v1+p57753bcd87a9+t6cdb53d5d7b8,57753bcd87a99996be9386fb03d92a36831cb4138fb34ad312acddac972f39b7,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,improve clarify/query/confirm,force clarify on missing info; drop verbose query args; confirm before send; enable parallel tools,0.55,0.6667,runs/v1_B_base_openrouter_20260602T142140719682.json
v2,agent_lead,system_prompt.md,v2+pdf872449f92d+t6cdb53d5d7b8,df872449f92d056899be8fe7f2e2a0e73d2ef2a81a90cb482ae3b8b9c400833e,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,add handle mapping + numeric,add twitter handle mapping (sama/elonmusk/karpathy/facebook) + numeric extraction rule + enforce parallel,0.6667,0.8,runs/v2_B_base_openrouter_20260602T142824147680.json
